employee_id,employee_name,department,join_date,salary,email_address
EMP-175,Lando RUSSELL   ,Pit Crew,2021-07-25,87622.0,lando.russell@racingteam.com
EMP-152,Lando ALONSO   ,Pit Crew,2022-02-22,66178.0,lando.alonso@racingteam.com
EMP-708,Carlos Hamilton,Sales & Marketing,2019-12-10,75603.0,carlos.hamilton@racingteam.com
EMP-778,Lando Albon,Logistics,2021-03-23,103355.0,lando.albon@racingteam.com
EMP-349,Charles Sainz,Aerodynamics,2017-06-15,136214.0,charles.sainz
EMP-168,Lewis Sainz,Pit Crew,2022-08-05,142057.0,lewis.sainz@racingteam.com
EMP-481,Carlos Russell,Pit Crew,2022-10-22,74878.0,carlos.russell@racingteam.com
EMP-539,Oscar Albon,Aerodynamics,2022-05-18,80054.0,oscar.albon@racingteam.com
EMP-426,Fernando Alonso,Logistics,2017-07-12,137743.0,fernando.alonso@racingteam.com
EMP-259,charles ALBON   ,Sales & Marketing,2020-06-12,99287.0,charles.albon@racingteam.com
EMP-315,George Verstappen,Logistics,2017-01-23,78127.0,george.verstappen@racingteam.com
EMP-543,George Sainz,Aerodynamics,2021-12-07,142773.0,george.sainz@racingteam.com
EMP-229,Oscar Norris,Pit Crew,2016-10-13,71707.0,oscar.norris
EMP-224,Carlos Alonso,Sales & Marketing,2016-10-01,141796.0,carlos.alonso@racingteam.com
EMP-505,Alex Norris,Engineering,2019-11-25,108858.0,alex.norris@racingteam.com
EMP-619,george Norris,Aerodynamics,2021-06-02,104394.0,george.norris@racingteam.com
EMP-736,yuki Hamilton,Logistics,2021-03-14,93809.0,yuki.hamilton@racingteam.com
EMP-110,Lando Norris,Engineering,2018-12-10,64078.0,lando.norris@racingteam.com
EMP-262,Max Norris,Sales & Marketing,2017-08-06,141029.0,missing_email@email.com
EMP-444,George Russell,Pit Crew,2019-03-31,91665.0,george.russell@racingteam.com
EMP-249,Lando Leclerc,Sales & Marketing,2019-01-19,77321.0,lando.leclerc@racingteam.com
EMP-348,max Verstappen,Engineering,2015-04-18,100667.0,max.verstappen@racingteam.com
EMP-553,George Hamilton,Aerodynamics,2017-05-15,98368.0,george.hamilton@racingteam.com
EMP-318,George Russell,Logistics,2021-04-18,130105.0,george.russell@racingteam.com
EMP-383,Max Albon,Sales & Marketing,2017-12-05,111353.0,max.albon
EMP-543,Alex Tsunoda,Engineering,2016-12-12,61827.0,alex.tsunoda@racingteam.com
EMP-915,Lando Hamilton,Sales & Marketing,2020-01-02,108198.0,lando.hamilton@racingteam.com
EMP-892,charles Albon,Engineering,2021-01-21,67871.0,charles.albon@racingteam.com
EMP-479,Lando Piastri,Pit Crew,2021-10-13,54539.0,lando.piastri@racingteam.com
EMP-882,Fernando Piastri,Sales & Marketing,2016-03-17,61531.0,fernando.piastri@racingteam.com
EMP-260,Carlos Alonso,Pit Crew,2018-03-26,137141.0,carlos.alonso
EMP-178,Oscar Tsunoda,Sales & Marketing,2017-12-07,115848.0,oscar.tsunoda@racingteam.com
EMP-410,yuki Hamilton,Sales & Marketing,2018-03-05,61178.0,yuki.hamilton@racingteam.com
EMP-761,Yuki Russell,Pit Crew,2016-12-18,68537.0,yuki.russell@racingteam.com
EMP-748,Alex Norris,Logistics,2016-07-05,45568.0,alex.norris
EMP-192,Fernando Leclerc,Logistics,2020-11-07,121076.0,fernando.leclerc@racingteam.com
EMP-236,Charles Alonso,Logistics,2022-11-13,86144.0,charles.alonso@racingteam.com
EMP-526,fernando Leclerc,Logistics,2021-07-05,129555.0,fernando.leclerc@racingteam.com
EMP-902,Oscar PIASTRI   ,Engineering,2021-01-17,146563.0,oscar.piastri@racingteam.com
EMP-606,Alex Russell,Engineering,2017-02-26,102424.0,alex.russell@racingteam.com
EMP-269,Carlos Albon,Pit Crew,2016-05-22,56161.0,carlos.albon@racingteam.com
EMP-419,George LECLERC   ,Logistics,2017-11-03,84166.0,george.leclerc@racingteam.com
EMP-149,lando Sainz,Sales & Marketing,2021-02-19,136995.0,lando.sainz@racingteam.com
EMP-335,Charles Sainz,Sales & Marketing,2020-07-20,91729.0,charles.sainz@racingteam.com
EMP-572,George Norris,Sales & Marketing,2020-01-18,48945.0,george.norris@racingteam.com
EMP-316,Charles Norris,Aerodynamics,2018-08-30,145441.0,charles.norris@racingteam.com
EMP-327,Fernando Hamilton,Pit Crew,2021-05-29,116847.0,fernando.hamilton
EMP-868,Yuki Albon,Aerodynamics,2018-08-24,72802.0,yuki.albon@racingteam.com
